1,Ant Man,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,5.2,2015-07-24,/eCgQhmWocaA45LeS1NztXGfWZoi.jpg
2,Jurasic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",7,2015-06-12,/dkMD5qlogeRMiEixC4YNPUvax2T.jpg
3,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",6.3,2015-07-09,/o4I5sHdjzs29hBWzHtS2MKD3JsM.jpg
4,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",7.4,2015-07-10,/q0R4crx2SehcEEQEkYObktdeFy.jpg
5,Ted 2,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",7,2015-06-26,/nkwoiSVJLeK0NI8kTqioBna61bm.jpg
6,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",8.3,2015-06-19,/szytSpLAyBh3ULei3x663mAv5ZT.jpg
7,Trainwreck,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",4.4,2015-07-09,/rnGXL7g4Bb3575bc0QZpCvsFrQR.jpg
